batch_id,batch_path,row_order,row_id,doc_id,sent_id
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,14,997,0000798081_2009_4,9
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,15,999,0000798081_2009_4,11
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,16,1007,0000798081_2009_4,29
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,17,1012,0000798081_2009_4,34
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,18,1014,0000798081_2009_4,37
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,19,1015,0000798081_2009_4,41
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,20,966,0000799850_2025_4,11
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,21,968,0000799850_2025_4,13
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,22,969,0000799850_2025_4,14
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,23,970,0000799850_2025_4,15
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,24,977,0000799850_2025_4,22
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,1,1627,0000811830_2022_4,6
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,2,1628,0000811830_2022_4,7
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,3,1629,0000811830_2022_4,8
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,4,651,0000827054_2019_4,1
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,5,653,0000827054_2019_4,8
