batch_id,batch_path,row_order,row_id,doc_id,sent_id
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,11,1383,0000089089_2007_4,31
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,12,1384,0000089089_2007_4,32
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,13,1385,0000089089_2007_4,33
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,14,1391,0000089089_2007_4,40
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,15,1392,0000089089_2007_4,41
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,16,1393,0000089089_2007_4,42
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,17,1394,0000089089_2007_4,43
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,18,201,0000091928_2006_4,6
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,19,202,0000091928_2006_4,7
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,20,205,0000091928_2006_4,10
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,21,206,0000091928_2006_4,11
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,22,161,0000093676_2014_4,16
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,1,992,0000096831_2006_4,8
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,2,993,0000096831_2006_4,9
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,3,994,0000096831_2006_4,10
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,4,995,0000096831_2006_4,12
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,5,2,0000109380_2009_4,5
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,6,82,0000215419_2013_4,13
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,7,83,0000215419_2013_4,14
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,8,84,0000215419_2013_4,15
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,9,1520,0000315545_2016_4,6
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,10,1521,0000315545_2016_4,18
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,11,1525,0000315545_2016_4,23
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,12,1526,0000315545_2016_4,24
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,13,1527,0000315545_2016_4,26
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,14,1528,0000315545_2016_4,27
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,15,1529,0000315545_2016_4,29
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,16,1530,0000315545_2016_4,30
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,17,1531,0000315545_2016_4,31
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,18,1532,0000315545_2016_4,32
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,19,1538,0000315545_2016_4,38
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,20,1542,0000315545_2016_4,42
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,21,327,0000317477_2010_4,16
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,22,602,0000317788_2016_4,8
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,23,603,0000317788_2016_4,9
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,24,605,0000317788_2016_4,15
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,25,608,0000317788_2016_4,18
